CPU 0 is empty
cpus=2
            main-27967 [001] 14428.023851: funcgraph_exit:         1.712 us   |      }
            main-27967 [001] 14428.023852: funcgraph_entry:                   |      restore_altstack() {
            main-27967 [001] 14428.023852: funcgraph_entry:        0.220 us   |        do_sigaltstack.constprop.33();
            main-27967 [001] 14428.023852: funcgraph_exit:         0.641 us   |      }
            main-27967 [001] 14428.023852: funcgraph_exit:         5.331 us   |    }
            main-27967 [001] 14428.023853: funcgraph_entry:                   |    exit_to_usermode_loop() {
            main-27967 [001] 14428.023853: funcgraph_entry:        0.187 us   |      mem_cgroup_handle_over_high();
            main-27967 [001] 14428.023853: funcgraph_exit:         0.710 us   |    }
            main-27967 [001] 14428.023854: funcgraph_exit:         6.941 us   |  }
            main-27967 [001] 14428.023855: funcgraph_entry:                   |  do_syscall_64() {
            main-27967 [001] 14428.023855: funcgraph_entry:                   |    SyS_nanosleep() {
            main-27967 [001] 14428.023855: funcgraph_entry:        0.211 us   |      get_timespec64();
            main-27967 [001] 14428.023856: funcgraph_entry:                   |      hrtimer_nanosleep() {
            main-27967 [001] 14428.023856: funcgraph_entry:        0.297 us   |        __hrtimer_init();
            main-27967 [001] 14428.023856: funcgraph_entry:                   |        do_nanosleep() {
            main-27967 [001] 14428.023857: funcgraph_entry:                   |          hrtimer_start_range_ns() {
            main-27967 [001] 14428.023857: funcgraph_entry:                   |            lock_hrtimer_base.isra.19() {
            main-27967 [001] 14428.023857: funcgraph_entry:        0.180 us   |              _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023857: funcgraph_exit:         0.586 us   |            }
            main-27967 [001] 14428.023858: funcgraph_entry:        0.243 us   |            ktime_get();
            main-27967 [001] 14428.023858: funcgraph_entry:        0.207 us   |            get_nohz_timer_target();
            main-27967 [001] 14428.023858: funcgraph_entry:        1.863 us   |            enqueue_hrtimer();
            main-27967 [001] 14428.023861: funcgraph_entry:        0.206 us   |            _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023861: funcgraph_exit:         4.412 us   |          }
            main-27967 [001] 14428.023861: funcgraph_entry:                   |          schedule() {
            main-27967 [001] 14428.023862: funcgraph_entry:        0.186 us   |            rcu_note_context_switch();
            main-27967 [001] 14428.023862: funcgraph_entry:        0.195 us   |            _raw_spin_lock();
            main-27967 [001] 14428.023862: funcgraph_entry:        0.199 us   |            update_rq_clock();
            main-27967 [001] 14428.023863: funcgraph_entry:                   |            deactivate_task() {
            main-27967 [001] 14428.023863: funcgraph_entry:                   |              dequeue_task_fair() {
            main-27967 [001] 14428.023863: funcgraph_entry:                   |                dequeue_entity() {
            main-27967 [001] 14428.023863: funcgraph_entry:                   |                  update_curr() {
            main-27967 [001] 14428.023864: funcgraph_entry:        0.208 us   |                    update_min_vruntime();
            main-27967 [001] 14428.023864: funcgraph_entry:        0.357 us   |                    cpuacct_charge();
            main-27967 [001] 14428.023865: funcgraph_entry:                   |                    __cgroup_account_cputime() {
            main-27967 [001] 14428.023865: funcgraph_entry:        0.190 us   |                      cgroup_cpu_stat_updated();
            main-27967 [001] 14428.023866: funcgraph_exit:         1.292 us   |                    }
